window_sec,window_min,n_samples,n_feasible,feasible_rate,mean_acc,std_acc,min_acc,max_acc,vs_baseline
5,0.08333333333333333,21599,11,100.0,76.45256013117326,22.04522488541664,36.666666666666664,99.89583333333333,2.1928082764621877
10,0.16666666666666666,10800,11,100.0,76.40886134067951,22.086198126842618,35.37037037037037,99.86111111111111,2.149109485968438
15,0.25,7200,11,100.0,75.74921564126107,22.27266030687516,38.05555555555556,99.89583333333333,1.4894637865500044
30,0.5,3600,11,100.0,75.3869375573921,23.65707538805129,27.500000000000004,99.79166666666667,1.1271857026810324
60,1.0,1800,11,100.0,75.03543005815733,22.864180114923922,34.44444444444444,99.58333333333333,0.7756782034462617
120,2.0,898,11,100.0,75.52389935025538,23.12627066164016,34.44444444444444,100.0,1.2641474955443073
300,5.0,360,11,100.0,75.51652892561982,23.316913324072694,36.11111111111111,100.0,1.256777070908754
600,10.0,178,11,100.0,77.33585858585859,22.990721956742362,33.33333333333333,100.0,3.0761067311475188
