window_sec,window_min,n_samples,n_feasible,feasible_rate,mean_acc,std_acc,min_acc,max_acc,vs_baseline
5,0.08333333333333333,23939,14,100.0,79.84261773078201,23.968763060345626,20.22222222222222,99.96527777777777,0.8829948827699354
10,0.16666666666666666,11970,14,100.0,79.25105218855218,23.950853013548087,24.444444444444443,100.0,0.2914293405401054
15,0.25,7980,14,100.0,78.81848244348244,22.94980099855891,32.33333333333333,100.0,-0.1411404045296365
30,0.5,3990,14,100.0,79.41666666666666,22.176766506033726,36.0,100.0,0.4570438186545829
60,1.0,1995,14,100.0,79.8838383838384,21.599609143084606,36.0,100.0,0.9242155358263204
120,2.0,994,14,100.0,80.85355390233441,21.019106551067594,40.54054054054054,100.0,1.893931054322337
300,5.0,399,14,100.0,81.04076479076478,20.49324759150789,40.0,100.0,2.0811419427527085
600,10.0,196,14,100.0,84.66553287981858,17.020827550475655,61.111111111111114,100.0,5.705910031806511
