window_sec,window_min,n_samples,n_feasible,feasible_rate,mean_acc,std_acc,min_acc,max_acc,vs_baseline
5,0.08333333333333333,21599,11,100.0,67.31011139810063,33.4313348801249,0.35353535353535354,99.9074074074074,-7.82338757965708
10,0.16666666666666666,10800,11,100.0,66.6541551882461,32.900610575643526,0.20202020202020202,100.0,-8.479343789511617
15,0.25,7200,11,100.0,60.44375573921029,34.66698710594682,0.0,100.0,-14.689743238547422
30,0.5,3600,11,100.0,75.22658402203857,27.70256563803106,0.30303030303030304,100.0,0.09308504428085485
60,1.0,1800,11,100.0,70.04338842975206,31.775709675959767,4.242424242424243,100.0,-5.090110548005654
120,2.0,898,11,100.0,62.037420068908965,36.5699891688145,3.6585365853658534,100.0,-13.096078908848746
300,5.0,360,11,100.0,69.20569329660239,33.201927039920854,3.0303030303030303,100.0,-5.92780568115532
600,10.0,178,11,100.0,69.43570318570319,31.01495971338679,12.5,100.0,-5.697795792054521
