epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.892,1.38951,1.87602,1.52295,0.7727,0.78374,0.85906,0.57706,1.17528,1.1485,1.46116,0.00333019,0.00333019,0.00333019
2,354.795,1.25062,1.30541,1.37125,0.79246,0.8424,0.87663,0.5089,1.3006,1.03573,1.65237,0.00659756,0.00659756,0.00659756
3,498.088,1.27079,1.23236,1.38581,0.77995,0.79129,0.85699,0.52864,1.08399,0.8135,1.43085,0.00979892,0.00979892,0.00979892
4,644.177,1.26011,1.13748,1.37877,0.8045,0.74244,0.78838,0.52316,1.12431,0.85986,1.47359,0.009703,0.009703,0.009703
5,804.217,1.2135,1.04453,1.35686,0.82584,0.90725,0.91799,0.71071,0.92353,0.64284,1.29352,0.009604,0.009604,0.009604
6,959.779,1.17686,0.98391,1.3349,0.90889,0.86401,0.95845,0.75842,0.86037,0.64648,1.24287,0.009505,0.009505,0.009505
7,1108.27,1.15162,0.93568,1.31629,0.86144,0.89576,0.92496,0.67868,0.93365,0.59933,1.29123,0.009406,0.009406,0.009406
8,1256.27,1.12052,0.88842,1.29594,0.90912,0.92803,0.97438,0.76846,0.85959,0.56199,1.23461,0.009307,0.009307,0.009307
9,1404.02,1.09638,0.85707,1.28556,0.95462,0.95946,0.96718,0.7285,0.85568,0.57048,1.24153,0.009208,0.009208,0.009208
10,1550.46,1.08842,0.83454,1.27471,0.97583,0.94463,0.98523,0.78907,0.81059,0.48121,1.19533,0.009109,0.009109,0.009109
11,1697.45,1.0637,0.81058,1.2593,0.90982,0.92211,0.96472,0.7635,0.80915,0.50025,1.18182,0.00901,0.00901,0.00901
12,1858.21,1.05611,0.78992,1.24591,0.88439,0.9497,0.96779,0.78533,0.77903,0.54434,1.12959,0.008911,0.008911,0.008911
13,2037.01,1.04453,0.77946,1.2427,0.96396,0.93935,0.97236,0.79463,0.78706,0.49443,1.13517,0.008812,0.008812,0.008812
14,2248.2,1.02529,0.75771,1.23348,0.979,0.95377,0.98667,0.81239,0.75981,0.44462,1.13265,0.008713,0.008713,0.008713
15,2473.22,1.01473,0.74558,1.22951,0.92626,0.97116,0.97678,0.79341,0.8027,0.45451,1.15524,0.008614,0.008614,0.008614
16,2638.94,1.00571,0.73397,1.22346,0.98234,0.97598,0.98826,0.82351,0.76866,0.43606,1.11983,0.008515,0.008515,0.008515
17,2800.17,1.0042,0.72733,1.21883,0.94623,0.96928,0.98598,0.82898,0.74616,0.42775,1.12357,0.008416,0.008416,0.008416
18,2975.94,0.99656,0.70816,1.21107,0.95308,0.97404,0.98256,0.81814,0.73368,0.40742,1.10031,0.008317,0.008317,0.008317
19,3126.78,0.98125,0.69824,1.2046,0.97093,0.95412,0.98787,0.84365,0.72881,0.41728,1.11179,0.008218,0.008218,0.008218
20,3289.98,0.97789,0.69188,1.20446,0.97079,0.96337,0.98627,0.80855,0.74468,0.42399,1.11734,0.008119,0.008119,0.008119
21,3464.06,0.96751,0.68379,1.19247,0.96207,0.97398,0.98742,0.83514,0.68951,0.39727,1.07965,0.00802,0.00802,0.00802
22,3623.75,0.96344,0.68066,1.19319,0.92773,0.97984,0.95655,0.79511,0.72531,0.41445,1.09271,0.007921,0.007921,0.007921
