epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,3786.86,0.96209,0.67302,1.19241,0.96419,0.96096,0.97347,0.83562,0.70075,0.39362,1.07161,0.007822,0.007822,0.007822
24,3950.8,0.95404,0.66763,1.1868,0.94397,0.96997,0.98369,0.82126,0.69353,0.38535,1.07574,0.007723,0.007723,0.007723
25,4119.77,0.95155,0.65571,1.18659,0.97549,0.97105,0.98685,0.84916,0.6826,0.38933,1.05252,0.007624,0.007624,0.007624
26,4286.47,0.946,0.65318,1.18347,0.94949,0.98151,0.98673,0.8409,0.68345,0.4001,1.05325,0.007525,0.007525,0.007525
27,4459.15,0.93768,0.64449,1.17594,0.94271,0.96025,0.98661,0.8448,0.68979,0.38727,1.0548,0.007426,0.007426,0.007426
28,4618.8,0.92601,0.63138,1.16769,0.92708,0.97187,0.98515,0.84939,0.65528,0.3823,1.0286,0.007327,0.007327,0.007327
29,4762.61,0.9311,0.64127,1.17479,0.95577,0.97498,0.98278,0.83904,0.67716,0.37106,1.05772,0.007228,0.007228,0.007228
30,5011.48,0.92449,0.62666,1.16627,0.92352,0.97408,0.9859,0.84282,0.67364,0.38948,1.04044,0.007129,0.007129,0.007129
31,5152.92,0.92222,0.62556,1.16487,0.9711,0.97297,0.98705,0.84183,0.66416,0.36362,1.03863,0.00703,0.00703,0.00703
32,5295.95,0.92025,0.62237,1.16491,0.97842,0.9808,0.98748,0.83576,0.65868,0.36545,1.02734,0.006931,0.006931,0.006931
33,5439.09,0.90803,0.61017,1.1572,0.94561,0.98198,0.98737,0.84866,0.63938,0.3556,1.0216,0.006832,0.006832,0.006832
34,5583.75,0.90992,0.60995,1.16131,0.93819,0.97444,0.97997,0.83,0.66249,0.36434,1.03222,0.006733,0.006733,0.006733
35,5734.28,0.9102,0.60692,1.15644,0.94507,0.97061,0.97164,0.83635,0.64857,0.3711,1.02741,0.006634,0.006634,0.006634
36,5903.86,0.8988,0.60425,1.15144,0.94984,0.97297,0.97777,0.84186,0.63255,0.34547,1.0188,0.006535,0.006535,0.006535
37,6090.55,0.89583,0.59573,1.15223,0.95642,0.98651,0.98832,0.84443,0.63814,0.3374,1.01733,0.006436,0.006436,0.006436
38,6282.7,0.89686,0.59548,1.14852,0.93247,0.98073,0.97715,0.83229,0.65126,0.3567,1.03702,0.006337,0.006337,0.006337
39,6482.86,0.88937,0.58701,1.1446,0.95138,0.97933,0.96913,0.84689,0.63972,0.35689,1.01757,0.006238,0.006238,0.006238
40,6663.18,0.89027,0.59029,1.14494,0.92413,0.98348,0.96939,0.83951,0.62195,0.35773,1.00692,0.006139,0.006139,0.006139
41,6911.04,0.8902,0.58734,1.14238,0.92891,0.97385,0.96982,0.8304,0.6444,0.34208,1.03349,0.00604,0.00604,0.00604
42,7062.47,0.88382,0.57819,1.13964,0.93501,0.97859,0.97006,0.83415,0.6455,0.34197,1.0283,0.005941,0.005941,0.005941
43,7221.01,0.88169,0.57864,1.1383,0.96491,0.97898,0.98764,0.85889,0.6316,0.34289,1.0066,0.005842,0.005842,0.005842
44,7383.56,0.87436,0.56914,1.13302,0.95916,0.95957,0.97053,0.84474,0.62279,0.3588,0.99808,0.005743,0.005743,0.005743
45,7534.58,0.86886,0.56578,1.13222,0.96267,0.97062,0.98394,0.8621,0.61772,0.3206,0.98724,0.005644,0.005644,0.005644
46,7683.84,0.87134,0.57127,1.13796,0.98203,0.98013,0.98661,0.86729,0.60109,0.3173,0.98143,0.005545,0.005545,0.005545
47,8073.13,0.87331,0.56775,1.13537,0.9722,0.96336,0.98667,0.87092,0.60055,0.32736,0.98171,0.005446,0.005446,0.005446
48,8332.3,0.86485,0.56209,1.13007,0.97762,0.96014,0.98757,0.86756,0.62158,0.33138,1.00809,0.005347,0.005347,0.005347
49,8492.53,0.85699,0.5514,1.12394,0.94452,0.98179,0.98797,0.85471,0.61358,0.31834,0.99882,0.005248,0.005248,0.005248
50,8659.3,0.8596,0.55266,1.12505,0.94219,0.97787,0.98072,0.86787,0.60087,0.32491,0.97512,0.005149,0.005149,0.005149
51,8825.78,0.8498,0.54573,1.12099,0.94399,0.97686,0.98718,0.85958,0.60473,0.32393,0.98532,0.00505,0.00505,0.00505
52,8984.4,0.85914,0.54838,1.12641,0.94392,0.97127,0.98554,0.85114,0.61468,0.3275,0.99387,0.004951,0.004951,0.004951
53,9145.07,0.85215,0.55207,1.12584,0.94233,0.98498,0.98866,0.84638,0.61248,0.32322,0.99582,0.004852,0.004852,0.004852
54,9312.14,0.84533,0.54546,1.12047,0.93825,0.98354,0.98841,0.8524,0.6156,0.32309,0.9882,0.004753,0.004753,0.004753
55,9473.69,0.84445,0.54526,1.11693,0.94355,0.98649,0.98864,0.86021,0.61163,0.30878,0.99192,0.004654,0.004654,0.004654
56,9636.2,0.8451,0.53931,1.12095,0.94224,0.97558,0.98775,0.87506,0.60146,0.31413,0.98087,0.004555,0.004555,0.004555
57,9799.43,0.84085,0.53143,1.11704,0.97397,0.96697,0.98806,0.8698,0.58911,0.32317,0.96802,0.004456,0.004456,0.004456
58,9963.26,0.83696,0.53557,1.11506,0.93767,0.97444,0.98769,0.87588,0.57518,0.31919,0.95745,0.004357,0.004357,0.004357
59,10139.4,0.83784,0.53118,1.11395,0.94104,0.96997,0.98784,0.87494,0.58145,0.30595,0.96235,0.004258,0.004258,0.004258
60,10291.7,0.83531,0.52642,1.11234,0.9268,0.97176,0.98361,0.86157,0.5773,0.31342,0.95679,0.004159,0.004159,0.004159
61,10445.4,0.83352,0.52745,1.1136,0.94601,0.96994,0.98767,0.86789,0.59599,0.31367,0.96847,0.00406,0.00406,0.00406
62,10578.9,0.82485,0.51729,1.10566,0.9672,0.95614,0.98634,0.86908,0.58555,0.31339,0.97027,0.003961,0.003961,0.003961
63,10716.8,0.83129,0.52376,1.10357,0.98047,0.95631,0.98681,0.86648,0.57999,0.29944,0.96173,0.003862,0.003862,0.003862
64,10850.7,0.82136,0.51422,1.09794,0.96223,0.96857,0.97789,0.86455,0.57845,0.30158,0.95698,0.003763,0.003763,0.003763
65,10985.5,0.82604,0.51215,1.0996,0.96387,0.96751,0.98775,0.87682,0.5768,0.30045,0.95725,0.003664,0.003664,0.003664
66,11121.5,0.81975,0.51523,1.1019,0.98315,0.97447,0.98779,0.87401,0.57271,0.29118,0.95486,0.003565,0.003565,0.003565
67,11255.9,0.82347,0.51247,1.1016,0.97894,0.97481,0.98843,0.87914,0.57374,0.28618,0.95615,0.003466,0.003466,0.003466
68,11389.2,0.81544,0.51039,1.09891,0.97703,0.97759,0.98833,0.88212,0.57364,0.28435,0.94909,0.003367,0.003367,0.003367
69,11526.4,0.81488,0.50854,1.09732,0.98162,0.96632,0.98817,0.87096,0.57541,0.28768,0.95096,0.003268,0.003268,0.003268
70,11669.7,0.81149,0.50277,1.09562,0.96332,0.96811,0.98498,0.8725,0.56738,0.29452,0.94527,0.003169,0.003169,0.003169
71,11802.1,0.80756,0.49934,1.09128,0.96082,0.96931,0.97603,0.87377,0.56542,0.2942,0.94421,0.00307,0.00307,0.00307
72,11936.4,0.80576,0.50137,1.09212,0.96205,0.96453,0.96934,0.8613,0.57113,0.29666,0.95019,0.002971,0.002971,0.002971
73,12069.9,0.80028,0.49283,1.0895,0.96011,0.96771,0.96801,0.85115,0.57551,0.30109,0.95015,0.002872,0.002872,0.002872
74,12238.5,0.80471,0.49834,1.09138,0.95842,0.96681,0.97474,0.85916,0.56912,0.29512,0.94256,0.002773,0.002773,0.002773
75,12449.3,0.79656,0.49522,1.08937,0.96279,0.96423,0.98732,0.88076,0.56158,0.29078,0.94001,0.002674,0.002674,0.002674
76,12574.7,0.8062,0.49901,1.09168,0.96236,0.96386,0.97793,0.87698,0.55553,0.28666,0.93346,0.002575,0.002575,0.002575
77,12704.3,0.78931,0.48097,1.08187,0.96251,0.96417,0.97583,0.87027,0.56172,0.29207,0.94074,0.002476,0.002476,0.002476
78,12832.4,0.79595,0.49026,1.08891,0.97947,0.96307,0.98874,0.88616,0.56278,0.28316,0.9388,0.002377,0.002377,0.002377
79,12959.9,0.78913,0.48029,1.08325,0.97482,0.96249,0.98904,0.88103,0.55934,0.2781,0.93416,0.002278,0.002278,0.002278
80,13087.9,0.78918,0.47816,1.07969,0.97992,0.96411,0.98893,0.88223,0.56086,0.28153,0.93164,0.002179,0.002179,0.002179
81,13215,0.78534,0.48087,1.08112,0.97834,0.96571,0.9889,0.88493,0.56135,0.28121,0.92997,0.00208,0.00208,0.00208
82,13343.9,0.78188,0.47768,1.07974,0.97901,0.96463,0.98917,0.88411,0.56405,0.28201,0.93396,0.001981,0.001981,0.001981
83,13471.3,0.78394,0.4763,1.07844,0.96878,0.96935,0.98962,0.88553,0.56297,0.27933,0.93255,0.001882,0.001882,0.001882
84,13599.7,0.78059,0.47127,1.07518,0.96773,0.96264,0.9897,0.88667,0.55653,0.27755,0.92717,0.001783,0.001783,0.001783
85,13727.7,0.779,0.46896,1.07561,0.96725,0.96327,0.98917,0.88928,0.55077,0.27508,0.92145,0.001684,0.001684,0.001684
86,13856.3,0.77286,0.46522,1.07391,0.97793,0.96364,0.98922,0.88932,0.54848,0.27315,0.91926,0.001585,0.001585,0.001585
87,13984.9,0.77405,0.46703,1.07952,0.9836,0.96674,0.98899,0.88618,0.5496,0.27266,0.91955,0.001486,0.001486,0.001486
88,14204.2,0.77475,0.46874,1.07936,0.98344,0.96876,0.98891,0.88647,0.55045,0.2728,0.92021,0.001387,0.001387,0.001387
89,14343.4,0.76924,0.46627,1.07381,0.98241,0.96825,0.98875,0.88948,0.54907,0.27214,0.92022,0.001288,0.001288,0.001288
90,14489.9,0.76653,0.45942,1.07244,0.97982,0.9686,0.98904,0.88327,0.54661,0.26733,0.91869,0.001189,0.001189,0.001189
