iter	Logloss
0	0.6368829968
1	0.5751539641
2	0.5156846244
3	0.460890456
4	0.4179950769
5	0.3845097944
6	0.3585277893
7	0.3305577118
8	0.3036904752
9	0.2889662677
10	0.2778514314
11	0.2616045347
12	0.2460446829
13	0.2309463607
14	0.219004365
15	0.1995891239
16	0.1854596553
17	0.1726424194
18	0.1621111506
19	0.1574545845
20	0.1473708735
21	0.1383027754
22	0.1331496223
23	0.1259850244
24	0.1207585114
25	0.1142209943
26	0.1079753279
27	0.101482826
28	0.09697195214
29	0.09130782512
30	0.08785625319
31	0.08551634069
32	0.08370824604
33	0.08028102829
34	0.07679394156
35	0.0740421458
36	0.07053161664
37	0.06878536014
38	0.0676273265
39	0.06627379938
40	0.06428282782
41	0.06141834708
42	0.059384019
43	0.05761596927
44	0.05649128677
45	0.05512044811
46	0.05335610783
47	0.05124587884
48	0.05000629149
49	0.04814512355
50	0.04691500909
51	0.04586620108
52	0.04531392385
53	0.04419459865
54	0.04358398126
55	0.0424422735
56	0.04180670556
57	0.04051830071
58	0.03918487099
59	0.03813143494
60	0.03772535932
61	0.03730741495
62	0.03676768637
63	0.03590202644
64	0.03513418402
65	0.03440837321
66	0.03352418113
67	0.03264129364
68	0.03217998026
69	0.03134537718
70	0.03056279183
71	0.03007853013
72	0.02966485906
73	0.02896640058
74	0.02838373086
75	0.02785960507
76	0.02759750655
77	0.02725924915
78	0.02692916986
79	0.02632690716
80	0.02611741895
81	0.02563474007
82	0.02517469245
83	0.02452627287
84	0.02429396932
85	0.02371218948
86	0.02331804277
87	0.02293014282
88	0.02224776052
89	0.02202871362
90	0.02182175262
91	0.02155586269
92	0.02133265023
93	0.02099888122
94	0.02059490187
95	0.02028719953
96	0.02007259734
97	0.01994555589
98	0.01957469427
99	0.01911887962
100	0.01872138361
101	0.01850725693
102	0.0182419513
103	0.01800362725
104	0.01773912572
105	0.01748546839
106	0.01724302635
107	0.01693607852
108	0.0167881258
109	0.0164966711
110	0.01626686896
111	0.01604137001
112	0.01574685058
113	0.01545446366
114	0.01525260025
115	0.01509414884
116	0.01493138124
117	0.01476247246
118	0.01454721276
119	0.01431137134
120	0.01412801438
121	0.01397295329
122	0.01381593147
123	0.01362136556
124	0.01346429198
125	0.01326766905
126	0.01311240978
127	0.01297755505
128	0.01283625904
129	0.01269311713
130	0.0125272977
131	0.01237430163
132	0.01226212152
133	0.01213227042
134	0.01201500582
135	0.01188982138
136	0.01176161705
137	0.01165300499
138	0.01153988283
139	0.01143253547
140	0.0113159513
141	0.01119980461
142	0.01110273125
143	0.01100708461
144	0.0108987352
145	0.01080405916
146	0.01070150871
147	0.01060125906
148	0.01050588469
149	0.01040467266
150	0.01031242986
151	0.01022172954
152	0.01013292266
153	0.01004982836
154	0.009969840304
155	0.009892189116
156	0.009815520102
157	0.009731972654
158	0.009658416638
159	0.00957308179
160	0.009493744793
161	0.009423205664
162	0.009341614441
163	0.009260469938
164	0.009191827975
165	0.009125365766
166	0.009060570441
167	0.00899568968
168	0.008930634866
169	0.008860570662
170	0.008794341556
171	0.008726497659
172	0.008666733227
173	0.008608300671
174	0.008550251298
175	0.008482234311
176	0.008415196503
177	0.008359646551
178	0.008297692727
179	0.00824382296
180	0.008184185913
181	0.008122731863
182	0.008064169531
183	0.008013653868
184	0.007956614971
185	0.007898676734
186	0.007850589565
187	0.007797099478
188	0.00774834848
189	0.007692784545
190	0.007646282779
191	0.007600819268
192	0.00755422197
193	0.007510209041
194	0.007466333984
195	0.007422777239
196	0.007379864268
197	0.007331778797
198	0.007289853015
199	0.0072484441
200	0.007199106714
201	0.007158360652
202	0.007118523781
203	0.007079013712
204	0.007040125307
205	0.006996481161
206	0.006958208434
207	0.006920328014
208	0.00688328776
209	0.006846565349
210	0.006809872231
211	0.006774016068
212	0.006738224277
213	0.006702530721
214	0.006667856166
215	0.006633135233
216	0.006598647675
217	0.006564273119
218	0.006531207177
219	0.006498018903
220	0.006465862623
221	0.006433397148
222	0.006396414299
223	0.006364989075
224	0.006333942759
225	0.006302637233
226	0.006271287168
227	0.006240322047
228	0.006210073955
229	0.006180310736
230	0.006151025502
231	0.006121305023
232	0.006087929454
233	0.006059455507
234	0.006030605835
235	0.006002432153
236	0.005974550734
237	0.005946853926
238	0.005919780246
239	0.005892636162
